city;federal_district;region_fo;id
Гусиноозерск;Дальневосточный;Бурятия Респ;30e1ab6c-4ee2-45ce-934a-c3435a015c29
Гусь-Хрустальный;Центральный;Владимирская обл;aa4aa0d7-f97f-4974-9291-c0a530a1ccb6
Давлеканово;Приволжский;Башкортостан Респ;d820f602-8763-4f63-be89-10077a2f025b
Дагестанские Огни;Северо-Кавказский;Дагестан Респ;8b4a997b-1e70-402a-a56a-e93c81d0ff20
Далматово;Уральский;Курганская обл;7a5390a0-3cde-4616-92f4-8f59b9a4ad5c
Дальнегорск;Дальневосточный;Приморский край;b2a863e2-37be-4858-b65e-0babc3872052
Дальнереченск;Дальневосточный;Приморский край;e6e6c2b1-20cf-47a7-9a4b-39e8a96cc5c8
Данилов;Центральный;Ярославская обл;28068176-9b2e-4333-a320-9b748b98b9d3
Данков;Центральный;Липецкая обл;ad0cefe8-456d-4cac-bee3-c3e910187f4a
Дегтярск;Уральский;Свердловская обл;079bd9a9-7a84-4e6e-8a69-e73433e51e41
Дедовск;Центральный;Московская обл;05b3833e-37b3-470e-bf21-78adf1eec36f
Демидов;Центральный;Смоленская обл;ab27d164-4b35-48ca-95ba-66abb8977a76
Дербент;Северо-Кавказский;Дагестан Респ;1bde5cf4-7943-4b17-9718-2c1d96742be5
Десногорск;Центральный;Смоленская обл;5e2b3d5b-cd14-4116-8837-8878b5ccc057
Джанкой;Южный;Крым Респ;84a2685c-0d4b-4d2c-829c-e4a1d5f89620
Дзержинск;Приволжский;Нижегородская обл;1d5a97d5-9bdf-44c9-ac42-e201833e7f28
Дзержинский;Центральный;Московская обл;6fa8b59c-cda7-4c98-8b41-e0bcb2867e16
Дивногорск;Сибирский;Красноярский край;76cc6918-6b7c-42b4-80da-4635d97d0da1
Дигора;Северо-Кавказский;Северная Осетия - Алания Респ;aa883f13-ea3c-4b7f-9f3c-309a2b38db04
Димитровград;Приволжский;Ульяновская обл;73b29372-242c-42c5-89cd-8814bc2368af
Дмитриев;Центральный;Курская обл;d3ce7d17-c746-4ea3-a564-34903b79a3fd
Дмитров;Центральный;Московская обл;0d8a246f-6446-403e-91c6-3aec9cdbfc32
Дмитровск;Центральный;Орловская обл;25748825-cbac-4a45-b3d6-4770c3872478
Дно;Северо-Западный;Псковская обл;31e4b2e4-ae67-43db-82ea-8728cd5a71c7
Добрянка;Приволжский;Пермский край;230c2f4d-fd9d-46fc-8bbd-b8de26810790
Долгопрудный;Центральный;Московская обл;dcf522ad-e032-4db9-9dbb-e30d2cddfadb
Долинск;Дальневосточный;Сахалинская обл;d1e3874e-1b89-4000-b63e-2a0428adbcd8
Домодедово;Центральный;Московская обл;d177d438-ea69-4169-854c-d4512d7c8ebe
Донецк;Южный;Ростовская обл;8eeb1bf2-9de9-46d5-874f-50344ca9128b
Донской;Центральный;Тульская обл;dc8fbc8d-da2e-4bbb-a55c-94446fa7ad77
Дорогобуж;Центральный;Смоленская обл;1c5ce84f-3f65-4b10-ac4d-2b44144cc234
Дрезна;Центральный;Московская обл;70643e37-137c-4e66-a06e-22feb7784740
Дубна;Центральный;Московская обл;c86ad06c-c721-4a7e-aa06-f622eed83b6f
Дубовка;Южный;Волгоградская обл;66a2c07f-45b1-47d2-ab51-fa16288d07a6
Дудинка;Сибирский;Красноярский край;80b72eaa-bcf7-4759-b291-09ee5e8b3377
Духовщина;Центральный;Смоленская обл;ccb8ae0f-9d62-4dec-9ab0-0bbb34cb9def
Дюртюли;Приволжский;Башкортостан Респ;d4ac608f-5096-4529-bab2-68a26c64272e
Дятьково;Центральный;Брянская обл;fd37b6f0-2406-41ca-86bc-57dd58fd71f4
Евпатория;Южный;Крым Респ;e11bab0f-338d-43e0-bfa4-1d3c87759e2a
Егорьевск;Центральный;Московская обл;17a3426e-add6-4b2e-b4b1-6f36da02b6ab
Ейск;Южный;Краснодарский край;d22840fe-89f7-4f1a-8591-c51b87a7aec2
Екатеринбург;Уральский;Свердловская обл;2763c110-cb8b-416a-9dac-ad28a55b4402
Елабуга;Приволжский;Татарстан Респ;82d4c783-5080-4faa-9cec-ba9152bc9fc8
Елец;Центральный;Липецкая обл;8261b161-ceac-4fa2-9fe8-593cb2a28210
Елизово;Дальневосточный;Камчатский край;3da129ee-9b72-45ec-bef9-07b69e1eed4e
Ельня;Центральный;Смоленская обл;c1e4a479-76a2-4db4-9d24-835d659340a3
Еманжелинск;Уральский;Челябинская обл;450daf49-c6ce-4bbd-9e3e-350e6ad3bc6c
Емва;Северо-Западный;Коми Респ;77fc9582-dbc7-4696-9ddc-00471e94553f
Енисейск;Сибирский;Красноярский край;6eb21d40-5098-49bc-8b08-ac1a2805d22b
Ермолино;Центральный;Калужская обл;0c66ce29-8464-40ef-a11d-e8e6df7475fd
